semestre;sexo;alumno;asignatura;tipo;ep1;ep2;ea;pf;estado
1;1;1712810120;IGA106;1;13;13;0;13;A
1;2;1712810121;IGA106;1;13;13;0;13;A
1;1;1712810122;IGA106;1;12;12;0;12;A
1;1;1712810123;IGA106;1;12;12;0;12;A
1;2;1712810124;IGA106;1;13;13;0;13;A
1;1;1712810125;IGA106;1;12;12;0;12;A
1;2;1712810126;IGA106;1;0;0;0;0;A
1;1;1712810127;IGA106;1;0;0;0;0;A
1;1;1712810128;IGA106;1;13;13;0;13;A
1;1;1712810129;IGA106;1;0;0;0;0;A
1;1;1712810130;IGA106;1;13;13;0;13;A
1;1;1712810101;IGA201;1;15;15;0;15;A
1;1;1712810102;IGA201;1;14;14;0;14;A
1;1;1712810103;IGA201;1;14;14;0;14;A
1;1;1712810104;IGA201;1;15;15;0;15;A
1;1;1712810105;IGA201;1;14;14;0;14;A
1;1;1712810106;IGA201;1;14;14;0;14;A
1;1;1712810107;IGA201;1;14;14;0;14;A
1;1;1712810108;IGA201;1;16;16;0;16;A
1;1;1712810109;IGA201;1;14;14;0;14;A
1;1;1712810110;IGA201;1;11;11;0;11;A
1;1;1712810111;IGA201;1;15;15;0;15;A
1;1;1712810112;IGA201;1;13;13;0;13;A
1;2;1712810113;IGA201;1;16;16;0;16;A
1;1;1712810114;IGA201;1;15;15;0;15;A
1;1;1712810115;IGA201;1;14;14;0;14;A
1;2;1712810116;IGA201;1;14;14;0;14;A
1;1;1712810117;IGA201;1;15;15;0;15;A
1;1;1712810118;IGA201;1;16;16;0;16;A
1;1;1712810119;IGA201;1;15;15;0;15;A
1;1;1712810120;IGA201;1;16;16;0;16;A
1;2;1712810121;IGA201;1;14;14;0;14;A
1;1;1712810122;IGA201;1;16;16;0;16;A
1;1;1712810123;IGA201;1;13;13;0;13;A
1;2;1712810124;IGA201;1;16;16;0;16;A
1;1;1712810125;IGA201;1;14;14;0;14;A
1;2;1712810126;IGA201;1;0;0;0;0;A
1;1;1712810127;IGA201;1;0;0;0;0;A
1;1;1712810128;IGA201;1;15;15;0;15;A
